!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
vinflunine	Launched	microtubule inhibitor		oncology	bladder cancer
vinorelbine	Launched	tubulin polymerization inhibitor	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	oncology	non-small cell lung cancer (NSCLC)
vinpocetine	Launched	phosphodiesterase inhibitor|sodium channel blocker	PDE1A|PDE1C	neurology/psychiatry	stroke|senile dementia
viomycin	Launched	protein synthesis inhibitor		infectious disease	tuberculosis
vipadenant	Phase 1	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
vismodegib	Launched	hedgehog pathway inhibitor|smoothened receptor antagonist	SMO	oncology	basal cell carcinoma (BCC)
visomitin	Preclinical	antioxidant			
vitamin-B12	Launched			hematology	megaloblastic anemia
vitamin-E	Launched	LDL oxidation inhibitor|PKC inhibitor	ALOX5|DGKA|NR1I2|PPP2CA|PPP2CB|PRKCA|PRKCB|SEC14L2|SEC14L3|SEC14L4		
vixotrigine	Phase 2	sodium channel blocker			
VLX1570	Phase 1/Phase 2	deubiquitinase inhibitor			
VLX600	Phase 1	antitumor agent|ubiquitin C-terminal hydrolase inhibitor	TP53|USP14		
VL285	Preclinical	PROTAC			
voclosporin	Phase 3	calcineurin inhibitor			
voglibose	Launched	glucosidase inhibitor	MGAM	endocrinology	diabetes mellitus|hyperglycemia
volasertib	Phase 3	PLK inhibitor	PLK1		
volinanserin	Phase 3	serotonin receptor antagonist	HTR2A|HTR2B|HTR2C|KCNH2		
vonoprazan	Launched	potassium-competitive acid antagonist	ATP4A	gastroenterology	peptic ulcer disease (PUD)
vorapaxar	Launched	thrombin inhibitor	F2R	cardiology	myocardial infarction|peripheral artery disease (PAD)
vorasidenib	Preclinical	isocitrate dehydrogenase inhibitor			
voreloxin	Phase 3	topoisomerase inhibitor	TOP2A		
voriconazole	Launched	cytochrome P450 inhibitor	CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1	infectious disease	esophageal candidiasis|aspergillosis|skin infections
vorinostat	Launched	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9	hematologic malignancy	cutaneous T-cell lymphoma (CTCL)
vortioxetine	Launched	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR1B|HTR2A|HTR2C|HTR3A|HTR5A|HTR6|HTR7|SLC6A4	neurology/psychiatry	depression
voruciclib	Phase 1	CDK9 inhibitor			
voxelotor	Launched	hemoglobin modulator			
voxtalisib	Phase 2	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA		
VP-20629	Phase 1	beta amyloid antagonist	PLA2G2E|SLC36A1		
VS-4718	Phase 1	focal adhesion kinase inhibitor			
VT-464	Phase 2	cytochrome P450 inhibitor	CYP17A1		
VTP-27999	Phase 1	renin inhibitor	REN		
VUF10166	Preclinical	serotonin receptor antagonist	HTR3A|HTR3B		
VUF10460	Preclinical	histamine receptor agonist	HRH4		
VUF11207	Preclinical	CC chemokine receptor agonist	ACKR3		
VU0155069	Preclinical	phospholipase inhibitor	PLD1		
VU0238429	Preclinical	acetylcholine receptor allosteric modulator	CHRM5		
VU0240551	Preclinical	potassium/chloride cotransporter inhibitor	SLC12A5		
VU0357121	Preclinical	glutamate receptor positive allosteric modulator	GRM5		
VU0360172	Preclinical	glutamate receptor positive allosteric modulator	GRM5		
VU0361737	Preclinical	glutamate receptor positive allosteric modulator	GRM4		
VU0364439	Preclinical	glutamate receptor positive allosteric modulator	GRM4		
VU0364739	Preclinical	phospholipase inhibitor	PLD2		
VU0364770	Preclinical	glutamate receptor positive allosteric modulator	GRM4		
VU0422288	Preclinical	glutamate receptor positive allosteric modulator	GRM3		
VU10010	Preclinical	acetylcholine receptor allosteric modulator	CHRM4		
VU152100	Preclinical	acetylcholine receptor allosteric modulator	CHRM4		
VU1545	Preclinical	glutamate receptor positive allosteric modulator	GRM5		
VU29	Preclinical	glutamate receptor potentiator	GRM5		
VU591	Preclinical	potassium channel blocker	KCNJ1		
VX-11e	Preclinical	MAP kinase inhibitor	MAPK1		
VX-222	Phase 2	HCV inhibitor			
VX-702	Phase 2	p38 MAPK inhibitor	IL1B|IL6|MAPK11|MAPK12|MAPK14|TNF		
VX-745	Phase 2	p38 MAPK inhibitor	MAPK11|MAPK12|MAPK14		
VX-765	Phase 2	caspase inhibitor	CASP1		
W-54011	Preclinical	anaphylatoxin chemotactic receptor antagonist	C5AR1		
walrycin-B	Preclinical	transcriptional regulatory protein WalR			
warfarin	Launched	vitamin K antagonist	VKORC1	hematology|cardiology	deep vein thrombosis (DVT)|pulmonary embolism (PE)|atrial fibrillation (AF)|myocardial infarction
WAY-100635	Phase 1	serotonin receptor antagonist	HTR1A		
WAY-161503	Preclinical	serotonin receptor agonist	HTR2C		
WAY-170523	Preclinical	metalloproteinase inhibitor	MMP13		
WAY-200070	Preclinical	estrogen receptor agonist	ERBB2|ERBB3|ERBB4|ESR2		
WAY-207024	Preclinical	gonadotropin releasing factor hormone receptor antagonist	GNRHR|HRH2|TACR2		
WAY-208466	Preclinical	serotonin receptor agonist	DRD2|HTR2A|HTR2C|HTR6|HTR7		
WAY-213613	Preclinical	glutamate inhibitor	SLC1A2		
WAY-255348	Preclinical	progesterone receptor antagonist			
WAY-316606	Preclinical	secreted frizzled related protein inhibitor	SFRP1		
WAY-362450	Phase 1	FXR agonist	NR1H4		
WAY-600	Preclinical	mTOR inhibitor	MTOR		
WAY-629	Preclinical	serotonin receptor agonist	HTR2C		
WB-4101	Preclinical	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1A		
WDR5-0103	Preclinical	histone lysine methyltransferase inhibitor	WDR5		
WEHI-345-analog	Preclinical	SRC inhibitor			
WH-4-023	Preclinical	SRC inhibitor	LCK|SRC		
WHI-P154	Preclinical	JAK inhibitor	EGFR|JAK1|JAK2|JAK3		
WIKI4	Preclinical	tankyrase inhibitor|WNT pathway inhibitor	TNKS2		
WIN-18446	Preclinical	aldehyde dehydrogenase inhibitor	ALDH1A2		
WIN-64338	Preclinical	bradykinin receptor antagonist	BDKRB2		
wiskostatin	Preclinical	actin related protein inhibitor|neural Wiskott-Aldrich syndrome protein inhibitor	WASL		
wnt-c59	Preclinical	porcupine inhibitor	PORCN		
wortmannin	Preclinical	PI3K inhibitor	PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC		
WP1066	Phase 1	STAT inhibitor	STAT3		
WP1130	Preclinical	deubiquitinase inhibitor	JAK2|UCHL5|USP14|USP9X		
WP921	Preclinical				
WR99210	Preclinical	dihydrofolate reductase inhibitor	TYMS	infectious disease	malaria
WWL-113	Preclinical	carboxylesterase inhibitor	CES3		
WWL-123	Preclinical	monoacylglycerol lipase inhibitor	ABHD6		
WY-16922	Phase 1	histamine release inhibitor			
WYE-125132	Preclinical	mTOR inhibitor	MTOR		
WYE-354	Preclinical	mTOR inhibitor	MTOR		
WYE-687	Preclinical	mTOR inhibitor	MTOR		
WZ-3146	Preclinical	EGFR inhibitor	EGFR		
WZ-4002	Preclinical	EGFR inhibitor	EGFR|ERBB2		
WZ4003	Preclinical	AMPK inhibitor	NUAK1|NUAK2		
WZ8040	Preclinical	EGFR inhibitor	EGFR		
WZ811	Preclinical	CC chemokine receptor antagonist	CXCR4		
xaliproden	Phase 3	serotonin receptor agonist	HTR1A		
xamoterol	Phase 3	adrenergic receptor agonist	ADRB1		
xanomeline	Phase 3	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6|HTR7		
xanthone	Preclinical	antimalarial agent			
XAV-939	Preclinical	tankyrase inhibitor	TNKS|TNKS2		
XBD173	Phase 2	benzodiazepine receptor ligand	TSPO		
XD-14	Preclinical	bromodomain inhibitor	BRD2|BRD3|BRD4|BRDT		
XE-991	Preclinical	potassium channel blocker	KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5		
xenalipin	Phase 2				
xibenolol	Phase 3	adrenergic receptor antagonist			
xilobam	Phase 1				
xipamide	Launched	carbonic anhydrase inhibitor	SLC12A3	cardiology	edema|hypertension
XL019	Phase 1	JAK inhibitor	JAK1|JAK2|JAK3		
XL041	Preclinical	LXR agonist			
XL147	Phase 2	PI3K inhibitor	PIK3CA|PIK3CD|PIK3CG		
XL228	Phase 1	Abl kinase inhibitor|insulin growth factor receptor inhibitor|SRC inhibitor	IGF1R|SRC		
XL388	Preclinical	mTOR inhibitor	MTOR		
XL647	Phase 3	EGFR inhibitor|VEGFR inhibitor	EGFR|EPHB4|ERBB2|FLT4|KDR		
XL888	Phase 1	HSP inhibitor			
XMD17-109	Preclinical	MAP kinase inhibitor	MAPK7		
XMD8-92	Preclinical	MAP kinase inhibitor	DCLK2|MAPK7|PLK4|TNK1		
xylazine	Launched	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C	neurology/psychiatry	anesthetic
xylometazoline	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C	otolaryngology|allergy	nasal congestion|allergic rhinitis
xylose	Launched				
Y-11	Preclinical	focal adhesion kinase inhibitor	PTK2		
Y-134	Preclinical	estrogen receptor antagonist	ESR1|ESR2		
Y-26763	Phase 1	potassium channel activator	KCNJ8		
Y-27152	Phase 1	potassium channel activator	KCNJ8		
Y-27632	Preclinical	rho associated kinase inhibitor	PKIA|PKN2|PRKACA|PRKCE|ROCK1|ROCK2		
Y-29794	Preclinical	prolyl endopeptidase inhibitor	PREP		
Y-320	Preclinical	interleukin inhibitor	IL17A		
Y-39983	Phase 2	rho associated kinase inhibitor	ROCK1|ROCK2		
YC-1	Preclinical	guanylyl cyclase activator	GUCY1A2|GUCY1A3|GUCY1B3|HIF1A		
YIL-781	Preclinical	ghrelin receptor antagonist	GHSR		
YK-4-279	Preclinical	apoptosis inhibitor	EWSR1|FLI1		
YL0919	Preclinical	selective serotonin reuptake inhibitor (SSRI)			
YM-022	Phase 2	CCK receptor antagonist	CCKBR		
YM-155	Phase 2	survivin inhibitor	BIRC5		
YM-201636	Preclinical	PI3K inhibitor			
YM-244769	Preclinical	sodium/calcium exchange inhibitor			
YM-298198	Preclinical	glutamate receptor antagonist	GRM1		
YM-298198-desmethyl	Preclinical	glutamate receptor antagonist	GRM1		
YM-511	Phase 2	aromatase inhibitor	CYP19A1		
YM-58483	Preclinical	calcium channel blocker	TRPC3|TRPC5|TRPM4		
YM-750	Phase 1	ACAT inhibitor	SOAT1		
YM-90709	Preclinical	IL5 inhibitor	CSF2RB|IL5RA		
YM-976	Phase 1	phosphodiesterase inhibitor	PDE4A		
YO-01027	Preclinical	gamma secretase inhibitor			
yoda-1	Preclinical	piezo channel activator	PIEZO1		
yohimbine	Launched	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C|DRD2|DRD3|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|KCNJ1|KCNJ10|KCNJ11|KCNJ12|KCNJ14|KCNJ15|KCNJ8	cardiology	cardiac arrythmia|bradycardia
YS-035	Preclinical	calcium channel blocker			
YS-201	Preclinical	calcium receptor antagonist			
YZ9	Preclinical	phosphofructokinase inhibitor	MIF|PFKFB3		
Y16	Preclinical	rho associated kinase inhibitor	RHOA		
zacopride	Phase 2	serotonin receptor antagonist	HTR3A|HTR3B|HTR4|HTR5A		
zafirlukast	Launched	leukotriene receptor antagonist	CYSLTR1|CYSLTR2	pulmonary	asthma
zalcitabine	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
zaldaride	Phase 3	calmodulin antagonist	CALM1		
zaltidine	Phase 3	histamine receptor antagonist	HRH2		
zaltoprofen	Launched	cyclooxygenase inhibitor		endocrinology|neurology/psychiatry	fever|pain relief
ZAMI-633	Phase 3	urease inhibitor			
zamifenacin	Phase 3	acetylcholine receptor antagonist	CHRM3		
zanamivir	Launched	neuraminidase inhibitor	NEU2	infectious disease	influenza A virus infection
zanubrutinib	Launched	Bruton's tyrosine kinase (BTK) inhibitor			
ZAPA	Preclinical				
zaprinast	Phase 2	phosphodiesterase inhibitor	GPR35|PDE1A|PDE4D|PDE5A|PDE9A		
zardaverine	Phase 2	phosphodiesterase inhibitor	PDE4D		
zatebradine	Phase 3	HCN channel blocker	HCN1|HCN2|HCN3|HCN4		
ZCL-278	Preclinical	CDC inhibitor	CDC42		
ZD-0947	Preclinical	potassium channel activator			
ZD-2079	Phase 2	adrenergic receptor agonist	ADRB3		
ZD-7114	Phase 1	adrenergic receptor agonist	ADRB3		
ZD-7155	Preclinical	angiotensin receptor antagonist	AGTR1		
ZD-7288	Phase 2	HCN channel blocker	HCN1|HCN2|HCN3|HCN4		
zeatin	Phase 1				
zebularine	Preclinical	DNA methyltransferase inhibitor	CDA|DNMT1		
zibotentan	Phase 3	endothelin receptor antagonist	EDNRA		
zidovudine	Launched	nucleoside reverse transcriptase inhibitor	TERT	infectious disease	human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)
zileuton	Launched	leukotriene synthesis inhibitor|lipoxygenase inhibitor	ALOX5	pulmonary	asthma
zilpaterol	Launched	adrenergic receptor agonist	ADRB2	endocrinology	weight-gain aid
zimelidine	Withdrawn	selective serotonin reuptake inhibitor (SSRI)	MAOA|MAOB|SLC6A4		
zinc-undecylenate	Launched	other antifungal		infectious disease	tinea pedis
zindotrine	Phase 2	phosphodiesterase inhibitor			
ziprasidone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A4	neurology/psychiatry	schizophrenia|bipolar disorder
ziritaxestat	Phase 3	autotaxin inhibitor			
ZK-164015	Preclinical	estrogen receptor antagonist	ESR1|ESR2		
ZK-200775	Phase 2	kainate receptor antagonist			
ZK-811752	Phase 2	CC chemokine receptor antagonist	CCR1		
ZK-93423	Phase 3	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2		
ZK-93426	Phase 1	benzodiazepine receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA5		
ZLN005	Preclinical				
ZLN024	Preclinical	AMPK activator	PRKAA1|PRKAB1|PRKAG1		
ZM-226600	Preclinical	Kir6 channel (KATP) activator			
ZM-241385	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
ZM-306416	Preclinical	Abl kinase inhibitor|SRC inhibitor|VEGFR inhibitor	EGFR|FLT1|FLT4|KDR		
ZM-323881	Preclinical	VEGFR inhibitor	KDR		
ZM-336372	Preclinical	RAF inhibitor	BRAF|LCK|MAPK14|RAF1		
ZM-39923	Preclinical	JAK inhibitor	JAK1|JAK3		
ZM-447439	Preclinical	Aurora kinase inhibitor	AURKA|AURKB		
zofenopril-calcium	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
zolantidine	Preclinical	histamine receptor antagonist			
zoledronic-acid	Launched	bone resorption inhibitor	FDPS|GGPS1	endocrinology	Paget's disease
zoliflodacin	Phase 3	antibacterial 			
zolimidine	Launched	mucus protecting agent		gastroenterology	peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)
zolmitriptan	Launched	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F	neurology/psychiatry	migraine headache
zomepirac	Withdrawn	prostaglandin synthesis inhibitor	PTGDR2		
zometapine	Phase 2				
zoniporide	Phase 3	sodium/hydrogen exchanger inhibitor	SLC9A1		
zonisamide	Launched	sodium channel blocker|T-type calcium channel blocker	CA1|CA10|CA11|CA12|CA13|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA8|CA9|CACNA1G|CACNA1H|CACNA1I|MAOA|MAOB|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	seizures|epilepsy
zopolrestat	Phase 2		AKR1B1|AKR1B10		
zosuquidar	Phase 3	P glycoprotein inhibitor	ABCB1|ABCB4		
zotarolimus	Launched	mTOR inhibitor	FKBP1A	cardiology	coronary artery restenosis
zotepine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA2B|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR6|HTR7|SLC6A2|SLC6A4	neurology/psychiatry	schizophrenia
zoxazolamine	Phase 2	myorelaxant			
ZSET1446	Preclinical	nicotinic receptor agonist			
ZSTK-474	Phase 1/Phase 2	PI3K inhibitor	PIK3CB|PIK3CD|PIK3CG		
zuclopenthixol	Launched	dopamine receptor antagonist	ADRA1A|ADRA2A|DRD1|DRD2|DRD5|HRH1|HTR2A	neurology/psychiatry	schizophrenia|bipolar disorder
zuranolone	Phase 3	GABA receptor agonist			
Z160	Phase 2	N-type calcium channel blocker	CACNA2D1		
"1,12-Besm"	Phase 2	polyamine biosynthesis inhibitor			
"1,2,3,4,5,6-hexabromocyclohexane"	Preclinical	JAK inhibitor	JAK2		
"1,3-dipropyl-8-phenylxanthine"	Preclinical	adenosine receptor antagonist			
"1,4-butanediol"	Phase 1	benzodiazepine receptor agonist|gamma hydroxybutyric acid agonist	MAN1B1|PLA2G2A|PLA2G2E		
"1,5-dicaffeoylquinic-acid"	Phase 1				
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium"	Preclinical				
"1-(1,2-diphenylethyl)piperidine-(+/-)"	Preclinical	glutamate receptor antagonist			
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	Preclinical				
1-acetyl-4-methylpiperazine	Preclinical	acetylcholine receptor agonist			
1-azakenpaullone	Preclinical	glycogen synthase kinase inhibitor	CCNB1|CDK1|CDK5|GSK3B		
1-deoxymannojirimycin	Preclinical	alpha mannosidase inhibitor	MAN2A1		
1-EBIO	Preclinical	potassium channel activator	KCNN1|KCNN2|KCNN3|KCNN4		
1-ethyl-2-pyrrolidone	Preclinical	transdermal absorption-enhancing compound			
1-hexadecanal	Preclinical	sphingosine 1-phosphate receptor substrate	DBI|RHO		
1-hexadecanol	Launched			dermatology	cosmetic
1-naphthyl-PP1	Preclinical	SRC inhibitor	SRC		
1-octacosanol	Phase 2				
1-octanol	Phase 2		GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1		
1-phenylbiguanide	Preclinical	serotonin receptor agonist	HTR3A|HTR3B		
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime	Preclinical				
"1S,2R-phenylpropanolamine"	Withdrawn	adrenergic receptor agonist			
10-deacetylbaccatin	Preclinical	antitumor agent			
10-DEBC	Preclinical	AKT inhibitor	PIM1		
10-hydroxycamptothecin	Preclinical	topoisomerase inhibitor	TOP1		
10058-F4	Preclinical	c-Myc inhibitor			
12-O-tetradecanoylphorbol-13-acetate	Phase 2	PKC activator	KCNT2|TRPV4		
1400W	Preclinical	nitric oxide synthase inhibitor	NOS1|NOS2|NOS3		
"16,16-dimethylprostaglandin-e2"	Phase 2	prostanoid receptor agonist	HPGD		
17-hydroxyprogesterone-caproate	Launched	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR	obstetrics/gynecology	spontaneous preterm birth
17-PA	Preclinical	glucocorticoid receptor agonist			
2'-C-methylguanosine	Preclinical	HCV inhibitor			
2'-MeCCPA	Preclinical	adenosine receptor agonist	ADORA1		
"2,3-cis/exo-camphanediol"	Phase 1				
"2,3-cis/exo-pinanediol"	Phase 1				
"2,3-DCPE"	Preclinical	BCL-XL downregulator	BCL2L1		
"2,4-dinitrochlorobenzene"	Phase 2	thioredoxin inhibitor	TXN		
"2,4-dinitrophenol"	Preclinical	ATP synthase inhibitor	APP		
"2,5-furandimethanol"	Phase 2	hemoglobin modulator	HBB		
"2,6-dimethylpiperidine"	Preclinical				
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"	Preclinical				
2-(1-adamantylamino)benzoic-acid	Preclinical				
2-(3-mercaptopropyl)pentanedioic-acid	Phase 1	glutamate carboxypeptidase inhibitor	FOLH1		
2-[1-(4-piperonyl)piperazinyl]benzothiazole	Preclinical	serotonin receptor agonist	HTR4		
2-aminobenzenesulfonamide	Preclinical	carbonic anhydrase inhibitor	CA12|CA14|CA2|CA6|CA9		
2-APB	Preclinical	"1,4,5-trisphosphate inhibitor"	TRPC1|TRPC3|TRPC4|TRPC5|TRPC6|TRPC7|TRPM2|TRPM3|TRPM6|TRPV1|TRPV6		
2-BFI	Preclinical	imidazoline receptor ligand	ADRA2A|ADRA2B|ADRA2C|MAOA|MAOB		
2-chloro-N6-cyclopentyladenosine	Preclinical	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
2-chloroadenosine	Preclinical	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B		
2-chloropyrazine	Preclinical				
2-CMDO	Preclinical	dopamine receptor antagonist	DRD2|DRD4		
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	Preclinical			oncology|endocrinology	pancreatic cancer|hypoglycemia
2-deoxyglucose	Phase 2	glycolysis inhibitor	SLC2A1|SLC2A2|SLC2A3|SLC2A4		
2-ethoxybenzoic-acid	Phase 1	analgesic agent			
"2-ethyl-1,3-hexanediol"	Preclinical				
2-fluoro-2-deoxy-D-galactose	Phase 1		LCT		
2-fluorofucose	Phase 1				
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione"	Preclinical				
2-hydroxyethyl-salicylate	Launched			neurology/psychiatry	pain relief
2-hydroxyflutamide	Phase 2	androgen receptor antagonist	AR		
2-hydroxysaclofen	Preclinical	GABA receptor antagonist	GABBR1|GABBR2		
2-iminobiotin	Phase 2	nitric oxide synthase inhibitor	NOS1|NOS2		
2-iodohippuric-acid	Preclinical				
2-iodomelatonin	Preclinical	melatonin receptor agonist	MTNR1A|MTNR1B|NQO2		
2-methoxyestradiol	Phase 2	hypoxia inducible factor inhibitor	COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB		
2-methyl-5-hydroxytryptamine	Preclinical	serotonin receptor agonist	HTR1B|HTR1D|HTR1E|HTR1F|HTR3A|HTR3B|HTR6		
2-methyl-5-nitrophenol	Preclinical				
2-methylimidazole	Preclinical	cholesterol inhibitor			
2-octyldodecan-1-ol	Preclinical				
2-oleoylglycerol	Phase 1	glucose dependent insulinotropic receptor ligand	GPR119		
2-oxoglutaric-acid	Preclinical		OXGR1		
2-oxopropanoate	Preclinical	pyruvate dehydrogenase kinase inhibitor	ABAT		
